SKU,Nombre,Descripción corta,Descripción,Cantidad,Precio normal,"Requiere Calcular Iva (1=Si,0=No)",Imágenes,Título SEO,Palabra clave de SEO,Descripción SEO
UNNGALV3/4,"Union Galvanizada 3/4""",<strong>Diámetro nominal: </strong>3/4\n<strong>Diámetro exterior mm: </strong>31.8\n<strong>Diámetro interior mm: </strong>24.2\n<strong>Longitud: </strong>42mm,"Uniones livianas y pesadas en tubería de acero galvanizado para protección de cables eléctricos, conexión en tuberías y/o accesorios de la misma referencia.",0,1800,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/Union-Metalica-Galvanizada-IMC-2.jpg,,Union Galvanizada 34 Uniones livianas y pesadas en tubería de,
UNNGALV11/2,"Union Galvanizada 1 1/2""",<strong>Diámetro nominal: </strong>1 1/2\n<strong>Diámetro exterior mm: </strong>56.5\n<strong>Diámetro interior mm: </strong>45.5\n<strong>Longitud: </strong>53mm,"Uniones livianas y pesadas en tubería de acero galvanizado para protección de cables eléctricos, conexión en tuberías y/o accesorios de la misma referencia.",0,4500,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/Union-Metalica-Galvanizada-IMC-2.jpg,,Union Galvanizada 1 12 Uniones livianas y pesadas en tubería,
UNNGALV6,"Union Galvanizada 6""",<strong>Diámetro nominal: </strong>6\n<strong>Diámetro exterior mm: </strong>160\n<strong>Diámetro interior mm: </strong>135\n<strong>Longitud: </strong>105mm,"Uniones livianas y pesadas en tubería de acero galvanizado para protección de cables eléctricos, conexión en tuberías y/o accesorios de la misma referencia.",0,93050,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/Union-Metalica-Galvanizada-IMC-2.jpg,,Union Galvanizada 6 Uniones livianas y pesadas en tubería de,
UNNGALV4,"Union Galvanizada 4""",<strong>Diámetro nominal: </strong>4\n<strong>Diámetro exterior mm: </strong>123\n<strong>Diámetro interior mm: </strong>110\n<strong>Longitud: </strong>89mm,"Uniones livianas y pesadas en tubería de acero galvanizado para protección de cables eléctricos, conexión en tuberías y/o accesorios de la misma referencia.",0,33550,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/Union-Metalica-Galvanizada-IMC-2.jpg,,Union Galvanizada 4 Uniones livianas y pesadas en tubería de,
UNNGALV3,"Union Galvanizada 3""",<strong>Diámetro nominal: </strong>3\n<strong>Diámetro exterior mm: </strong>95.6\n<strong>Diámetro interior mm: </strong>85.4\n<strong>Longitud: </strong>84mm,"Uniones livianas y pesadas en tubería de acero galvanizado para protección de cables eléctricos, conexión en tuberías y/o accesorios de la misma referencia.",0,20400,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/Union-Metalica-Galvanizada-IMC-2.jpg,,Union Galvanizada 3 Uniones livianas y pesadas en tubería de,
UNNGALV2,"Union Galvanizada 2""",<strong>Diámetro nominal: </strong>2\n<strong>Diámetro exterior mm: </strong>67\n<strong>Diámetro interior mm: </strong>57.6\n<strong>Longitud: </strong>54mm,"Uniones livianas y pesadas en tubería de acero galvanizado para protección de cables eléctricos, conexión en tuberías y/o accesorios de la misma referencia.",0,6500,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/Union-Metalica-Galvanizada-IMC-2.jpg,,Union Galvanizada 2 Uniones livianas y pesadas en tubería de,
UNNGALV1/2,"Union Galvanizada 1/2""",<strong>Diámetro nominal: </strong>1/2\n<strong>Diámetro exterior mm: </strong>24.6\n<strong>Diámetro interior mm: </strong>18.8\n<strong>Longitud: </strong>42mm,"Uniones livianas y pesadas en tubería de acero galvanizado para protección de cables eléctricos, conexión en tuberías y/o accesorios de la misma referencia.",0,1850,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/Union-Metalica-Galvanizada-IMC-2.jpg,,Union Galvanizada 12 Uniones livianas y pesadas en tubería de,
UNNGALV11/4,"Union Galvanizada 1 1/4""",<strong>Diámetro nominal: </strong>1 1/4\n<strong>Diámetro exterior mm: </strong>48.3\n<strong>Diámetro interior mm: </strong>39.5\n<strong>Longitud: </strong>52mm,"Uniones livianas y pesadas en tubería de acero galvanizado para protección de cables eléctricos, conexión en tuberías y/o accesorios de la misma referencia.",0,4050,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/Union-Metalica-Galvanizada-IMC-2.jpg,,Union Galvanizada 1 14 Uniones livianas y pesadas en tubería,
UNNGALV1,"Union Galvanizada 1""",<strong>Diámetro nominal: </strong>1\n<strong>Diámetro exterior mm: </strong>38.6\n<strong>Diámetro interior mm: </strong>30.5\n<strong>Longitud: </strong>50mm,"Uniones livianas y pesadas en tubería de acero galvanizado para protección de cables eléctricos, conexión en tuberías y/o accesorios de la misma referencia.",0,2600,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/Union-Metalica-Galvanizada-IMC-2.jpg,,Union Galvanizada 1 Uniones livianas y pesadas en tubería de,
